CMND/CCCD,Họ Và Tên,Ngày sinh,Số Đăng ký, Loại cầu thủ, Mô tả
4468266994452,Nguyễn Sơn Hải,6/5/1994,1,Nội binh,Chiều cao: 180 cm. Cân nặng: 65 kg.
616060339774,Nguyễn Hùng Thiện Đức,8/12/1999,2,Nội binh,Chiều cao: 179 cm. Cân nặng: 63 kg.
8225742071822,Nguyễn Thanh Thảo,14/05/1995,3,Nội binh,Chiều cao: 181 cm. Cân nặng: 73 kg.
4558679616949,Uông Ngọc Tiến,23/03/2000,5,Nội binh,Chiều cao: 181 cm. Cân nặng: 75 kg.
4803718011130,Nguyễn Trọng Huy,25/06/1997,6,Nội binh,Chiều cao: 175 cm. Cân nặng: 61 kg.
306565311963,Nguyễn Thanh Long,10/1/1993,7,Nội binh,Chiều cao: 184 cm. Cân nặng: 73 kg.
8585093340433,Nguyễn Anh Tài,5/2/1996,8,Nội binh,Chiều cao: 180 cm. Cân nặng: 67 kg.
1582184986760,Đoàn Tuấn Cảnh,27/07/1998,9,Nội binh,Chiều cao: 178 cm. Cân nặng: 69 kg.
1835329843628,Bùi Vĩ Hào,24/02/2003,11,Nội binh,Chiều cao: 175 cm. Cân nặng: 68 kg.
9638868275500,Trần Duy Khánh,20/07/1997,12,Nội binh,Chiều cao: 185 cm. Cân nặng: 66 kg.
4823258354765,Nguyễn Huỳnh Văn Bin,12/1/2002,13,Nội binh,Chiều cao: 175 cm. Cân nặng: 61 kg.
4774697958925,Trần Hoàng Phương,11/4/1994,14,Nội binh,Chiều cao: 185 cm. Cân nặng: 76 kg.
1430345939069,Trương Dũ Đạt,25/07/1997,15,Nội binh,Chiều cao: 184 cm. Cân nặng: 68 kg.
1249673025891,Nguyễn Trần Việt Cường,27/12/2000,16,Nội binh,Chiều cao: 185 cm. Cân nặng: 75 kg.
9554458397064,Tống Anh Tỷ,24/01/1997,17,Nội binh,Chiều cao: 180 cm. Cân nặng: 62 kg.
1662899791769,Hồ Sỹ Giáp,18/04/1994,18,Nội binh,Chiều cao: 182 cm. Cân nặng: 64 kg.
1637974799958,Lưu Tự Nhân,18/12/2001,19,Nội binh,Chiều cao: 175 cm. Cân nặng: 67 kg.
1617442333678,Đoàn Văn Quý,2/1/1998,20,Nội binh,Chiều cao: 176 cm. Cân nặng: 61 kg.
5054773467878,Nguyễn Tiến Linh,20/10/1997,22,Nội binh,Chiều cao: 178 cm. Cân nặng: 67 kg.
3356608702475,Hà Trung Hậu,3/10/2002,23,Nội binh,Chiều cao: 183 cm. Cân nặng: 69 kg.
2451879513468,Trần Hoàng Bảo,15/05/2001,24,Nội binh,Chiều cao: 182 cm. Cân nặng: 61 kg.
8476739521478,Trần Đức Cường ,20/05/1985,25,Nội binh,Chiều cao: 177 cm. Cân nặng: 70 kg.
7789632890387,Lê Vũ Quốc Nhật,16/10/1996,26,Nội binh,Chiều cao: 178 cm. Cân nặng: 59 kg.
