CMND/CCCD,Họ Và Tên,Ngày sinh,Số Đăng ký, Loại cầu thủ, Mô tả
7309249763831,Võ Doãn Thục Kha,31/05/1991,1,Nội binh,Chiều cao: 177 cm. Cân nặng: 65 kg.
9712936647425,Nguyễn Tiến Duy,29/04/1991,2,Nội binh,Chiều cao: 182 cm. Cân nặng: 66 kg.
8498301639453,Dương Thanh Hào,23/06/1991,3,Nội binh,Chiều cao: 182 cm. Cân nặng: 66 kg.
4421861125848,Hồ Tấn Tài,6/11/1997,4,Nội binh,Chiều cao: 185 cm. Cân nặng: 66 kg.
3798212631492,Vũ Hữu Quý,10/2/1993,5,Nội binh,Chiều cao: 179 cm. Cân nặng: 70 kg.
5416504062966,Đỗ Thanh Tịnh,18/08/1998,6,Nội binh,Chiều cao: 185 cm. Cân nặng: 73 kg.
9918623434977,Nguyễn Xuân Nam,18/01/1994,7,Nội binh,Chiều cao: 177 cm. Cân nặng: 69 kg.
623880488370,Mạc Hồng Quân,1/1/1992,8,Nội binh,Chiều cao: 182 cm. Cân nặng: 71 kg.
943533423983,Lê Tiến Anh,23/03/1998,9,Nội binh,Chiều cao: 185 cm. Cân nặng: 67 kg.
2274403236313,Đỗ Văn Thuận,23/05/1992,10,Nội binh,Chiều cao: 175 cm. Cân nặng: 58 kg.
6991855489673,Lê Ngọc Bảo,29/03/1998,11,Nội binh,Chiều cao: 183 cm. Cân nặng: 63 kg.
7631920377689,Hà Đức Chinh,22/09/1997,12,Nội binh,Chiều cao: 177 cm. Cân nặng: 71 kg.
5679963860118,Nguyễn Huỳnh Hữu An,16/03/1997,14,Nội binh,Chiều cao: 185 cm. Cân nặng: 69 kg.
9298413210592,Trần Đình Trọng,25/04/1997,17,Nội binh,Chiều cao: 184 cm. Cân nặng: 65 kg.
670716238466,Trần Văn Trung,27/01/1998,18,Nội binh,Chiều cao: 178 cm. Cân nặng: 65 kg.
6359513385295,Vũ Tuyên Quang,5/7/1995,20,Nội binh,Chiều cao: 184 cm. Cân nặng: 63 kg.
7755088809980,Trần Đình Minh Hoàng,8/1/1993,21,Nội binh,Chiều cao: 179 cm. Cân nặng: 70 kg.
7014020666350,Lý Công Hoàng Anh,1/9/1999,22,Nội binh,Chiều cao: 184 cm. Cân nặng: 66 kg.
9499267021570,Vũ Viết Triều,23/02/1997,23,Nội binh,Chiều cao: 184 cm. Cân nặng: 63 kg.
4091944585784,Phan Ngọc Tín,9/3/2004,26,Nội binh,Chiều cao: 184 cm. Cân nặng: 65 kg.
1876599283834,Trần Văn Thái,4/9/2001,28,Nội binh,Chiều cao: 185 cm. Cân nặng: 69 kg.
3564891861724,Đào Gia Việt,20/06/2003,30,Nội binh,Chiều cao: 175 cm. Cân nặng: 58 kg.
