CMND/CCCD,Họ Và Tên,Ngày sinh,Số Đăng ký, Loại cầu thủ, Mô tả
863024267993,Dương Văn Lợi,2/12/2000,1,Nội binh,Chiều cao: 177 cm. Cân nặng: 69 kg.
5418011239687,Lê Văn Sơn,20/12/1996,2,Nội binh,Chiều cao: 183 cm. Cân nặng: 75 kg.
4956320684222,Trần Hữu Đông Triều,20/08/1995,5,Nội binh,Chiều cao: 183 cm. Cân nặng: 71 kg.
4887250769745,Lương Xuân Trường,28/04/1995,6,Nội binh,Chiều cao: 176 cm. Cân nặng: 66 kg.
9638474015281,Nguyễn Phong Hồng Duy,13/06/1996,7,Nội binh,Chiều cao: 175 cm. Cân nặng: 66 kg.
731213407398,Trần Minh Vương,28/03/1995,8,Nội binh,Chiều cao: 185 cm. Cân nặng: 78 kg.
3762930886183,Nguyễn Văn Toàn,12/4/1996,9,Nội binh,Chiều cao: 184 cm. Cân nặng: 72 kg.
7309436449791,Nguyễn Công Phượng,21/01/1995,10,Nội binh,Chiều cao: 175 cm. Cân nặng: 58 kg.
3370641676672,Nguyễn Tuấn Anh,16/05/1995,11,Nội binh,Chiều cao: 180 cm. Cân nặng: 62 kg.
7242151026937,Nguyễn Hữu Tuấn,6/5/1992,15,Nội binh,Chiều cao: 181 cm. Cân nặng: 71 kg.
9149518114675,Vũ Văn Thanh,14/04/1996,17,Nội binh,Chiều cao: 175 cm. Cân nặng: 62 kg.
8625576063483,Trần Bảo Toàn,14/07/2000,20,Nội binh,Chiều cao: 176 cm. Cân nặng: 69 kg.
6341660032967,Lê Huy Kiệt,20/10/2003,21,Nội binh,Chiều cao: 181 cm. Cân nặng: 74 kg.
7865392448976,Nguyễn Nhĩ Khang,16/02/2001,22,Nội binh,Chiều cao: 177 cm. Cân nặng: 59 kg.
2272306889820,Nguyễn Thanh Nhân,25/10/2000,23,Nội binh,Chiều cao: 179 cm. Cân nặng: 69 kg.
6347199048374,Nguyễn Đức Việt,1/1/2004,24,Nội binh,Chiều cao: 185 cm. Cân nặng: 68 kg.
15012888188,Trần Trung Kiên,9/2/2003,25,Nội binh,Chiều cao: 180 cm. Cân nặng: 68 kg.
1531140633964,Huỳnh Tuấn Linh,12/4/1991,26,Nội binh,Chiều cao: 180 cm. Cân nặng: 63 kg.
799010767676,Nguyễn Văn Triệu,17/01/2003,27,Nội binh,Chiều cao: 178 cm. Cân nặng: 63 kg.
1420144406893,Lê Hữu Phước,7/5/2001,34,Nội binh,Chiều cao: 181 cm. Cân nặng: 74 kg.
3240718169497,Cao Hoàng Tú,6/9/2001,47,Nội binh,Chiều cao: 180 cm. Cân nặng: 71 kg.
9173543049978,Võ Đình Lâm,10/1/2000,60,Nội binh,Chiều cao: 175 cm. Cân nặng: 64 kg.
6866113628668,A Hoàng,31/07/1995,82,Nội binh,Chiều cao: 185 cm. Cân nặng: 67 kg.
