CMND/CCCD,Họ Và Tên,Ngày sinh,Số Đăng ký, Loại cầu thủ, Mô tả
1135021498248,Bùi Tấn Trường,19/02/1986,1,Nội binh,Chiều cao: 180 cm. Cân nặng: 74 kg.
6664095603343,Huỳnh Tấn Sinh,6/4/1998,3,Nội binh,Chiều cao: 180 cm. Cân nặng: 62 kg.
3365218664498,Đoàn Văn Hậu,19/04/1999,5,Nội binh,Chiều cao: 180 cm. Cân nặng: 65 kg.
4322753534063,Đậu Văn Toàn,7/4/1997,8,Nội binh,Chiều cao: 181 cm. Cân nặng: 68 kg.
9814276849977,Phạm Tuấn Hải,19/05/1998,9,Nội binh,Chiều cao: 177 cm. Cân nặng: 62 kg.
4530732142502,Nguyễn Văn Quyết,1/7/1991,10,Nội binh,Chiều cao: 177 cm. Cân nặng: 67 kg.
876407625403,Phạm Thành Lương,10/9/1988,11,Nội binh,Chiều cao: 183 cm. Cân nặng: 70 kg.
3884641023153,Trần Văn Kiên,13/05/1996,13,Nội binh,Chiều cao: 178 cm. Cân nặng: 70 kg.
3917733058874,Nguyễn Hai Long,27/08/2000,14,Nội binh,Chiều cao: 184 cm. Cân nặng: 73 kg.
3835012016367,Phạm Đức Huy,20/01/1995,15,Nội binh,Chiều cao: 178 cm. Cân nặng: 63 kg.
9503122625304,Nguyễn Thành Chung,8/9/1997,16,Nội binh,Chiều cao: 182 cm. Cân nặng: 73 kg.
355209414666,Nguyễn Văn Công,1/8/1992,18,Nội binh,Chiều cao: 177 cm. Cân nặng: 58 kg.
2411922044573,Nguyễn Quang Hải,12/4/1997,19,Nội binh,Chiều cao: 179 cm. Cân nặng: 68 kg.
1465811943511,Bùi Hoàng Việt Anh,1/1/1999,20,Nội binh,Chiều cao: 183 cm. Cân nặng: 66 kg.
7465574073137,Lê Xuân Tú,6/9/1999,25,Nội binh,Chiều cao: 176 cm. Cân nặng: 66 kg.
8620582535293,Nguyễn Tuấn Anh,7/7/1999,26,Nội binh,Chiều cao: 176 cm. Cân nặng: 71 kg.
8147117518686,Vũ Tiến Long,4/4/2002,27,Nội binh,Chiều cao: 177 cm. Cân nặng: 67 kg.
7138067322247,Đỗ Duy Mạnh,29/09/1996,28,Nội binh,Chiều cao: 175 cm. Cân nặng: 68 kg.
7835116944419,Ngô Đức Hoàng,16/09/2002,29,Nội binh,Chiều cao: 181 cm. Cân nặng: 63 kg.
3826455312920,Nguyễn Bá Minh Hiếu,23/05/1997,31,Nội binh,Chiều cao: 185 cm. Cân nặng: 64 kg.
4860411635101,Quan Văn Chuẩn,7/1/2001,37,Nội binh,Chiều cao: 180 cm. Cân nặng: 60 kg.
