CMND/CCCD,Họ Và Tên,Ngày sinh,Số Đăng ký, Loại cầu thủ, Mô tả
7639166464555,Nguyễn Văn Việt,12/7/2002,1,Nội binh,Chiều cao: 182 cm. Cân nặng: 72 kg.
264836207505,Phạm Thế Nhật,15/02/1991,2,Nội binh,Chiều cao: 183 cm. Cân nặng: 66 kg.
6418329847267,Quế Ngọc Hải,15/05/1993,3,Nội binh,Chiều cao: 175 cm. Cân nặng: 64 kg.
7454218274843,Bùi Đình Châu,6/2/1996,4,Nội binh,Chiều cao: 183 cm. Cân nặng: 67 kg.
2468260871967,Hoàng Văn Khánh,5/4/1995,5,Nội binh,Chiều cao: 179 cm. Cân nặng: 73 kg.
5926375107314,Hồ Sỹ Sâm,2/9/1993,6,Nội binh,Chiều cao: 185 cm. Cân nặng: 66 kg.
4955420083583,Phạm Xuân Mạnh,9/2/1996,7,Nội binh,Chiều cao: 176 cm. Cân nặng: 65 kg.
7019925615811,Hồ Phúc Tịnh,28/08/1994,8,Nội binh,Chiều cao: 179 cm. Cân nặng: 73 kg.
9415714322850,Nguyễn Trọng Hoàng,14/04/1989,9,Nội binh,Chiều cao: 178 cm. Cân nặng: 70 kg.
1390987548625,Olaha Michael Onyedikachi,4/7/1997,10,Ngoại binh,Chiều cao: 176 cm. Cân nặng: 58 kg.
7843590317303,Nguyễn Văn Việt,6/4/1999,14,Nội binh,Chiều cao: 184 cm. Cân nặng: 63 kg.
5582117782203,Trần Đình Tiến,9/11/1998,15,Nội binh,Chiều cao: 181 cm. Cân nặng: 66 kg.
7232040832099,Trần Đình Đồng,20/05/1987,16,Nội binh,Chiều cao: 176 cm. Cân nặng: 70 kg.
9187884719292,Nguyễn Văn Hoàng,17/02/1995,18,Nội binh,Chiều cao: 175 cm. Cân nặng: 68 kg.
2988589876952,Trường An,30/12/1991,19,Nội binh,Chiều cao: 185 cm. Cân nặng: 66 kg.
4135657996550,Phan Văn Đức,11/4/1996,20,Nội binh,Chiều cao: 183 cm. Cân nặng: 62 kg.
530725262880,Phan Xuân Đại,1/1/2003,21,Nội binh,Chiều cao: 181 cm. Cân nặng: 61 kg.
4042051985338,Nguyễn Bá Đức,23/05/1998,22,Nội binh,Chiều cao: 180 cm. Cân nặng: 74 kg.
9435148646079,Đinh Xuân Tiến,10/1/2003,23,Nội binh,Chiều cao: 184 cm. Cân nặng: 73 kg.
6188887249625,Hồ Khắc Lương ,10/1/2001,24,Nội binh,Chiều cao: 179 cm. Cân nặng: 61 kg.
4451314238534,Trần Văn Tiến,26/06/1994,25,Nội binh,Chiều cao: 184 cm. Cân nặng: 74 kg.
4664492282288,Trần Mạnh Quỳnh,18/01/2001,26,Nội binh,Chiều cao: 177 cm. Cân nặng: 67 kg.
9707996804411,Nguyễn Xuân Bình,24/05/2001,27,Nội binh,Chiều cao: 184 cm. Cân nặng: 78 kg.
