CMND/CCCD,Họ Và Tên,Ngày sinh,Số Đăng ký, Loại cầu thủ, Mô tả
7548735342254,Ngô Xuân Sơn,17/01/1997,1,Nội binh,Chiều cao: 181 cm. Cân nặng: 67 kg.
4387535525621,Nguyễn Thanh Bình,2/11/2000,3,Nội binh,Chiều cao: 185 cm. Cân nặng: 70 kg.
8906485031507,Bùi Tiến Dũng,2/10/1995,4,Nội binh,Chiều cao: 178 cm. Cân nặng: 69 kg.
4331694750397,Trương Văn Thiết,7/6/1995,5,Nội binh,Chiều cao: 176 cm. Cân nặng: 58 kg.
538661217646,Đinh Tuấn Tài,8/5/1999,6,Nội binh,Chiều cao: 183 cm. Cân nặng: 69 kg.
7101386142047,Nguyễn Hữu Thắng,19/05/2000,8,Nội binh,Chiều cao: 184 cm. Cân nặng: 64 kg.
8575285372609,Trần Ngọc Sơn,29/10/1996,9,Nội binh,Chiều cao: 182 cm. Cân nặng: 66 kg.
9987743217747,Hồ Khắc Ngọc,2/8/1992,12,Nội binh,Chiều cao: 180 cm. Cân nặng: 64 kg.
7280723484441,Đoàn Huy Hoàng,18/06/2003,13,Nội binh,Chiều cao: 177 cm. Cân nặng: 71 kg.
6807721109909,Bùi Quang Khải,19/05/1993,14,Nội binh,Chiều cao: 179 cm. Cân nặng: 65 kg.
9834664154623,Nguyễn Xuân Kiên,4/1/2000,15,Nội binh,Chiều cao: 175 cm. Cân nặng: 60 kg.
2937908905931,Nguyễn Đức Hoàng Minh,20/02/1998,17,Nội binh,Chiều cao: 178 cm. Cân nặng: 70 kg.
4046268302077,Trần Hoàng Sơn,31/03/1997,18,Nội binh,Chiều cao: 175 cm. Cân nặng: 59 kg.
2913773384579,Trần Danh Trung,3/10/2000,19,Nội binh,Chiều cao: 184 cm. Cân nặng: 66 kg.
6163252271169,Cao Trần Hoàng Hùng,4/4/1999,20,Nội binh,Chiều cao: 181 cm. Cân nặng: 61 kg.
263126513344,Nguyễn Đức Chiến,24/08/1998,21,Nội binh,Chiều cao: 175 cm. Cân nặng: 66 kg.
5777606081152,Nguyễn Sĩ Chiến,2/5/1999,22,Nội binh,Chiều cao: 182 cm. Cân nặng: 66 kg.
4237838450478,Quàng Thế Tài,10/9/1996,25,Nội binh,Chiều cao: 182 cm. Cân nặng: 73 kg.
3948400803976,Trần Nguyên Mạnh,20/12/1991,26,Nội binh,Chiều cao: 181 cm. Cân nặng: 65 kg.
9304147202343,Nguyễn Hoàng Đức,11/1/1998,28,Nội binh,Chiều cao: 182 cm. Cân nặng: 71 kg.
7707369978248,Trương Tiến Anh,25/4/1999,29,Nội binh,Chiều cao: 184 cm. Cân nặng: 75 kg.
5534249237607,Khuất Văn Khang,11/5/2003,30,Nội binh,Chiều cao: 184 cm. Cân nặng: 65 kg.
1929879031467,Dương Văn Hào,15/02/1997,33,Nội binh,Chiều cao: 182 cm. Cân nặng: 71 kg.
